obj,x0,y0,x1,y1,x2,y2,x3,y3
0,478,542,519,542,519,559,478,559
1,322,521,322,499,337,499,337,521
2,329,484,329,484,328,485,328,485
3,493,354,493,354,493,354,493,354
4,371,342,372,341,373,342,372,343
5,181,333,202,329,203,332,182,335
6,168,322,172,317,175,319,171,325
7,217,311,245,310,246,326,218,327
8,273,299,273,299,272,299,272,299
9,161,314,167,297,170,297,164,315
10,169,300,208,279,219,297,179,319
11,179,264,215,257,217,265,181,272
12,224,301,229,223,250,225,244,302
13,618,218,625,214,643,250,635,253
14,273,212,273,211,278,211,278,212
15,545,211,545,211,545,208,545,208
16,264,205,596,180,604,294,273,319
17,235,200,260,183,266,191,241,209
18,266,188,266,183,274,183,274,188
19,282,177,288,172,290,174,284,179